Code	Kingdom	Taxon
AADNV	V	648330
AAV2 	V	10804
AAV2S	V	648242
ABAMA	E	118452
ABANI	E	72259
ABAPA	E	102642
ABAST	E	392897
ABBRI	E	75332
ABDAC	E	515833
ABDS2	B	56673
ABECH	E	180068
ABEFI	E	183219
ABEGR	E	105883
ABEMA	E	183220
ABHV 	V	1241371
ABIAL	E	45372
ABIBA	E	90345
ABIBE	E	123605
ABIBR	E	66168
ABICO	E	97173
ABIDE	B	46125
ABIFI	E	78260
ABIFR	E	97172
ABIFY	E	473868
ABIGR	E	46611
ABIHL	E	97168
ABIHO	E	78261
ABIKO	E	97170
ABILA	E	34340
ABIMA	E	3320
ABIMR	E	78263
ABINE	E	97176
ABISA	E	78264
ABIVE	E	78262
ABLBU	E	283347
ABLHI	E	129035
ABLKI	E	245592
ABLVB	V	446561
ABLVH	V	446562
ABMVW	V	10816
ABPVR	V	1217067
ABRAN	E	89096
ABRBE	E	108855
ABRBR	E	38527
ABRGR	E	278977
ABRJE	E	241142
ABRLO	E	29094
ABROL	E	29098
ABROR	E	49579
ABRPR	E	3816
ABRSY	E	190335
ABSGL	E	4829
ABSSP	E	126712
ABUSA	E	50731
ABUSE	E	80948
ABUTH	E	3631
ABUVA	E	192871
ABV  	V	437444
ABVP 	V	654911
ABYKO	E	61637
ACAAN	E	8605
ACAAR	E	258588
ACAAU	E	185140
ACABA	E	157584
ACABE	E	119680
ACABI	E	200166
ACABO	E	425510
ACABR	E	339859
ACABU	E	8179
ACABW	E	392908
ACACA	E	5755
ACACE	E	157585
ACACH	E	51758
ACACI	E	357281
ACACK	E	75334
ACACL	E	256091
ACACN	E	126420
ACACO	E	3809
ACACP	E	52216
ACACR	E	1310284
ACACS	E	136140
ACACT	E	271173
ACACU	E	938165
ACADO	E	121031
ACAEB	E	241842
ACAER	E	111511
ACAEU	E	449243
ACAGO	E	115339
ACAGR	E	1129268
ACAGU	E	75013
ACAKA	E	117190
ACALA	E	8177
ACALE	E	459747
ACALI	E	483362
ACALU	E	85306
ACAM1	B	329726
ACAMA	E	78687
ACAMI	E	1110371
ACAMN	E	224085
ACAMR	B	155978
ACAMY	E	138032
ACANA	E	1108046
ACANG	E	175431
ACANI	E	12913
ACANR	E	175432
ACAOB	E	200917
ACAOV	E	204797
ACAPA	E	1264770
ACAPC	E	335913
ACAPF	E	452306
ACAPI	E	71285
ACAPL	E	133434
ACAPO	E	5757
ACAPT	E	173075
ACARH	E	32204
ACARO	E	1211104
ACARU	E	266413
ACAS 	E	57776
ACASC	E	72011
ACASE	E	239748
ACASI	E	66546
ACASN	E	642423
ACASO	E	13323
ACASP	E	150342
ACASS	E	412080
ACATH	E	175434
ACATN	E	136180
ACATR	E	175435
ACATU	E	385555
ACAUN	E	753143
ACAVI	E	6277
ACAVT	E	133117
ACAWO	E	478375
ACCCO	E	261198
ACCGE	E	8957
ACCPU	B	522306
ACCST	E	56330
ACEAC	B	435
ACEAT	E	35845
ACEAZ	B	574087
ACEBU	E	57649
ACECA	E	66205
ACECH	E	1285428
ACECO	E	175825
ACECR	E	35846
ACECS	E	175824
ACEJA	E	376739
ACEJU	E	505845
ACEMO	E	168566
ACENE	E	4023
ACEOP	E	168567
ACEP3	B	634452
ACEPA	B	438
ACEPE	E	35862
ACEPF	E	376893
ACEPL	E	4025
ACEPM	E	66201
ACEPS	E	4026
ACERU	E	45314
ACESA	E	4024
ACESC	E	75745
ACESP	E	57652
ACEWD	B	931626
ACEWO	B	33952
ACHAC	E	1442373
ACHAD	E	188992
ACHAM	E	4768
ACHAR	E	169206
ACHAX	B	29552
ACHBI	E	4766
ACHBT	E	262805
ACHBU	E	354749
ACHCO	E	229769
ACHCY	B	223
ACHDE	B	32002
ACHDO	E	6997
ACHEC	E	61895
ACHFU	E	6530
ACHKL	E	4767
ACHLA	B	2148
ACHLI	B	441768
ACHLN	E	253938
ACHLY	B	224
ACHMA	E	80791
ACHME	E	572522
ACHMI	E	13329
ACHOB	B	37486
ACHOL	E	236538
ACHPJ	B	1318466
ACHSL	B	129026
ACHTA	E	112802
ACHTR	E	63345
ACHXA	B	762376
ACIAC	B	397945
ACIAD	B	62977
ACIAI	B	80869
ACIAM	A	2283
ACIAN	B	107673
ACIAO	B	76588
ACIAP	B	643561
ACIAU	E	48024
ACIB1	B	696749
ACIB3	B	557600
ACIB4	A	439481
ACIB5	B	480119
ACIBA	B	470
ACIBC	B	405416
ACIBD	B	980514
ACIBE	E	27689
ACIBI	B	202950
ACIBR	E	7907
ACIBS	B	509170
ACIBT	B	400667
ACIBY	B	509173
ACIBZ	B	106648
ACIC1	B	351607
ACIC5	B	240015
ACICA	B	471
ACICE	B	28049
ACICH	E	78691
ACICJ	B	349163
ACICP	B	871585
ACICR	E	3018
ACICS	B	990288
ACICY	B	524
ACIDA	E	62061
ACIDE	B	47920
ACIET	B	535289
ACIF2	B	243159
ACIF5	B	380394
ACIFA	B	525
ACIFD	B	525909
ACIFE	B	905
ACIFR	B	920
ACIFU	E	41871
ACIFV	B	591001
ACIG1	B	72607
ACIG6	B	106646
ACIGI	B	106649
ACIGL	B	474
ACIGU	E	7902
ACIHA	B	29430
ACIHW	A	933801
ACIIN	A	12915
ACIIR	B	568816
ACIJB	E	32536
ACIJO	B	40214
ACIJU	B	40215
ACILW	B	28090
ACIMA	B	926570
ACIME	E	7908
ACIMI	E	61966
ACIMT	B	437
ACIMU	B	62140
ACINA	E	42330
ACINU	E	61967
ACIOR	B	33999
ACIOX	E	36177
ACIPE	E	61968
ACIPI	B	48296
ACIRA	B	40216
ACIRT	E	7906
ACIRU	B	526
ACIS0	A	673860
ACIS1	A	1071056
ACIS3	A	666510
ACIS7	B	68992
ACIS8	B	68995
ACIS9	B	68996
ACISA	B	72569
ACISB	B	1111120
ACISC	E	111304
ACISD	B	436717
ACISE	B	194927
ACISI	E	61970
ACISJ	B	232721
ACISL	E	107768
ACISN	B	269442
ACISP	B	472
ACISR	B	68994
ACIST	E	7903
ACISU	E	61674
ACITH	B	930
ACITR	E	7904
ACIUN	E	121830
ACIVR	B	1191460
ACLHE	E	714756
ACLSA	V	73472
ACLSP	V	73473
ACMMI	E	119162
ACMRA	E	217838
ACOAL	E	125586
ACOAM	E	263995
ACOAN	E	1086103
ACOCA	E	10068
ACOCE	E	219331
ACOCL	E	4465
ACOCR	E	980951
ACOGR	E	55184
ACOIG	E	60745
ACOLI	E	764543
ACOLU	E	753144
ACOME	E	156899
ACOMI	E	83528
ACOOR	E	156900
ACOPE	E	156902
ACOPR	E	83527
ACORI	E	980958
ACORU	E	60746
ACOTR	E	357125
ACOWI	E	37436
ACOWR	E	292681
ACRAC	E	43715
ACRAL	E	169987
ACRAM	E	398408
ACRAP	E	140238
ACRAR	E	39621
ACRAS	E	57686
ACRAT	E	73033
ACRAU	E	29594
ACRBR	E	126873
ACRC1	E	857340
ACRCA	E	219317
ACRCE	E	6130
ACRCH	E	5044
ACRCI	E	244713
ACRCR	E	451382
ACRDA	E	214017
ACRDI	E	70779
ACRDO	E	34495
ACRDU	E	51850
ACREC	E	103372
ACRFA	E	356809
ACRFO	E	126732
ACRGR	E	46287
ACRHI	E	244443
ACRHU	E	46687
ACRJA	E	39267
ACRJP	E	223793
ACRLO	E	227548
ACRLR	E	154029
ACRMA	E	51851
ACRME	E	435338
ACRMI	E	45264
ACRNA	E	70778
ACRNO	E	70781
ACROI	E	161545
ACROR	E	68483
ACRPA	E	68471
ACRPL	E	6131
ACRPR	E	127871
ACRPY	E	190720
ACRRO	E	43695
ACRSC	E	48156
ACRSO	E	932719
ACRSP	E	5045
ACRST	E	68485
ACRSU	E	713687
ACRTA	E	207112
ACRTE	E	70783
ACRTO	E	392910
ACRVA	E	55976
ACRVU	E	8992
ACRWI	E	227550
ACTAF	E	118783
ACTBE	E	1078900
ACTCA	B	717
ACTCH	E	3625
ACTCU	E	199376
ACTCY	B	65497
ACTDE	E	3627
ACTEC	E	571810
ACTEQ	E	6106
ACTER	E	165200
ACTEU	B	718
ACTFR	E	396334
ACTHA	B	1850
ACTHE	E	160769
ACTHY	E	320702
ACTLG	B	69484
ACTLI	B	720
ACTLU	E	63976
ACTM4	B	512565
ACTMA	E	190659
ACTMD	B	446462
ACTMI	B	1866
ACTMR	E	335395
ACTNA	B	1655
ACTNH	B	1115803
ACTNM	B	182080
ACTP2	B	416269
ACTP7	B	537457
ACTPA	B	42198
ACTPJ	B	434271
ACTPL	B	715
ACTRA	E	64040
ACTS3	B	1872
ACTS5	B	134676
ACTSC	B	67854
ACTSI	E	571813
ACTSK	B	237531
ACTSL	B	38989
ACTSP	B	72570
ACTSU	B	716
ACTSX	B	29317
ACTSZ	B	339671
ACTTE	E	6105
ACTTI	B	1867
ACTUT	B	1869
ACTVI	B	1656
ACTVL	E	227975
ACUCH	E	232576
ACULO	E	863974
ACUOB	E	3088
ACYKO	E	34664
ACYMA	E	7030
ACYPI	E	7029
ACYPU	E	559140
ACYSU	E	361139
AD01A	V	928294
ADAAL	E	154655
ADAAU	E	125079
ADABI	E	7084
ADADE	E	115343
ADADI	E	69109
ADAGE	E	69110
ADAGR	E	69111
ADAPA	E	176095
ADARU	E	69114
ADAZA	E	69116
ADDNA	E	59515
ADE01	V	10533
ADE02	V	10515
ADE03	V	45659
ADE04	V	28280
ADE05	V	28285
ADE06	V	10534
ADE07	V	10519
ADE08	V	31545
ADE09	V	10527
ADE12	V	28282
ADE15	V	28276
ADE16	V	31544
ADE17	V	46922
ADE18	V	10528
ADE1A	V	343463
ADE1H	V	308444
ADE1P	V	343462
ADE31	V	10529
ADE35	V	10522
ADE40	V	28284
ADE41	V	10524
ADEAL	E	462377
ADEB2	V	114429
ADEB3	V	10510
ADEB4	V	70333
ADEB7	V	10511
ADEBA	V	39788
ADEBR	E	311011
ADEC2	V	10514
ADECA	E	574363
ADECC	V	69150
ADECG	V	10513
ADECO	E	133065
ADECR	V	69151
ADECT	V	69152
ADECU	V	36364
ADEDI	E	56633
ADEE1	V	46916
ADEE2	V	67603
ADEF1	V	114102
ADEFA	E	140993
ADEFR	V	298331
ADEG1	V	10553
ADEG8	V	66295
ADEGU	E	237833
ADEGX	V	10547
ADEHI	E	41468
ADEHY	E	185462
ADELA	E	104308
ADELI	E	236346
ADELR	E	133063
ADEM1	V	10530
ADEME	E	304594
ADEO7	V	114430
ADEOB	E	69375
ADEOD	V	130327
ADEOO	E	54927
ADEP3	V	35265
ADEP4	V	35267
ADEPA	E	3811
ADEPE	E	185464
ADEPI	E	185465
ADEPO	E	428835
ADES1	V	189830
ADES7	V	10532
ADESE	E	16929
ADET1	V	47680
ADETR	E	185467
ADETS	E	357502
ADEUN	E	76949
ADEVO	E	219186
ADHGA	E	325918
